,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115368734,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'anonymous', 'name': 'Анонимная'}",,,,2025-01-13T09:54:29+0300,2025-01-13T09:54:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115368734,,https://api.hh.ru/vacancies/115368734?host=hh.ru,https://hh.ru/vacancy/115368734,[],"{'name': 'Торгово-производственная компания', 'trusted': True}","{'requirement': 'опыт работы с ВЭД. - работа с маркетплейсами: WB, Озон, Ламода и другие каналы продаж. - опыт работы в производственной компании, средний...', 'responsibility': 'анализ финансовых показателей. - оценка текущего финансового положения компании: доходы, расходы, прибыль и долговые обязательства. -бюджетирование - разработка и утверждение бюджета, согласование...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '137', 'name': 'Финансовый менеджер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115437452,False,Старший юрист,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 360000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:50:58+0300,2025-01-13T16:50:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115437452,,https://api.hh.ru/vacancies/115437452?host=hh.ru,https://hh.ru/vacancy/115437452,[],"{'id': '11597785', 'name': 'ЛЧ Лигал', 'url': 'https://api.hh.ru/employers/11597785', 'alternate_url': 'https://hh.ru/employer/11597785', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7042807.png', '90': 'https://img.hhcdn.ru/employer-logo/7042806.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1355724.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11597785', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт работы в юридической фирме от 3-х лет. Опыт работы по проектам, связанным с решением задачам...', 'responsibility': 'Ведение клиентских проектов, в основном венчурные <highlighttext>инвестиции</highlighttext> и М&A сделки, - лично или в команде с юристами. Подготовку корпоративных договоров...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115414007,False,Руководитель направления развитие и контроль реализации проектов,"{'id': '19989-19989-office', 'name': 'ЕВРАЗ. Руководители и эксперты в офисе'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Нижний Тагил', 'street': 'Индустриальная улица', 'building': '70', 'lat': 57.929174, 'lng': 60.01065, 'description': None, 'raw': 'Нижний Тагил, Индустриальная улица, 70', 'metro': None, 'metro_stations': [], 'id': '6711255'}",,,2025-01-13T14:02:19+0300,2025-01-13T14:02:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414007,,https://api.hh.ru/vacancies/115414007?host=hh.ru,https://hh.ru/vacancy/115414007,[],"{'id': '19989', 'name': 'ЕВРАЗ', 'url': 'https://api.hh.ru/employers/19989', 'alternate_url': 'https://hh.ru/employer/19989', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/782717.png', '240': 'https://img.hhcdn.ru/employer-logo/3571760.png', '90': 'https://img.hhcdn.ru/employer-logo/3571759.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=19989', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее профессиональное (профильное, проектное). Знания инструментов управления проектами. Знания нормативной базы в области строительства (градостроительный кодекс, ФЗ-116, ФЗ-87...', 'responsibility': 'Организовывать внедрение инструментов проектного управления и единство методологии в рабочих группах проектов дирекции по управлению проектами. Проводить анализ проблемных областей...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115363241,False,Frontend разработчик (React),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T09:22:26+0300,2025-01-13T09:22:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115363241,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://api.hh.ru/vacancies/115363241?host=hh.ru,https://hh.ru/vacancy/115363241,[],"{'id': '78638', 'name': 'Т-Банк', 'url': 'https://api.hh.ru/employers/78638', 'alternate_url': 'https://hh.ru/employer/78638', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6761534.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1285309.png', '240': 'https://img.hhcdn.ru/employer-logo/6761535.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=78638', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'не строим процессы ради процессов. Обучаться, совершенствовать свои знания и навыки. Требования. У вас есть опыт коммерческой разработки на React...', 'responsibility': 'Интерфейсами, которые мы пишем на React, пользуются миллионы людей ежедневно: от интернет-банка, <highlighttext>инвестиций</highlighttext> и обучающих курсов Т—Ж до...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115445340,False,Директор по маркетингу,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Щербаковская улица', 'building': '3', 'lat': 55.782623, 'lng': 37.723367, 'description': None, 'raw': 'Москва, Щербаковская улица, 3', 'metro': {'station_name': 'Семеновская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.130', 'line_id': '3', 'lat': 55.783096, 'lng': 37.719289}, 'metro_stations': [{'station_name': 'Семеновская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.130', 'line_id': '3', 'lat': 55.783096, 'lng': 37.719289}], 'id': '621371'}",,,2025-01-13T18:13:36+0300,2025-01-13T18:13:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115445340,,https://api.hh.ru/vacancies/115445340?host=hh.ru,https://hh.ru/vacancy/115445340,[],"{'id': '1011251', 'name': 'ГК Дамате', 'url': 'https://api.hh.ru/employers/1011251', 'alternate_url': 'https://hh.ru/employer/1011251', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3440238.png', '90': 'https://img.hhcdn.ru/employer-logo/3440237.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/749819.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1011251', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы директором по маркетингу в производственных компаниях, FMCG или смежных. Опыт работы в компаниях с выручкой не менее 30...', 'responsibility': 'Формировать, утверждать и защищать бюджет функции маркетинга и бюджет на маркетинг, контролировать исполнение и эффективность маркетинговых <highlighttext>инвестиций</highlighttext>. Ежегодная актуализация и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '37', 'name': 'Директор по маркетингу и PR (CMO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115404291,False,QA Lead,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T12:52:24+0300,2025-01-13T12:52:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115404291,,https://api.hh.ru/vacancies/115404291?host=hh.ru,https://hh.ru/vacancy/115404291,[],"{'id': '1111058', 'name': 'Hi, Rockits!', 'url': 'https://api.hh.ru/employers/1111058', 'alternate_url': 'https://hh.ru/employer/1111058', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/857842.jpg', '90': 'https://img.hhcdn.ru/employer-logo/3872243.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/3872244.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1111058', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Вы точно подойдете на эту вакансию, если: Опыт работы на позиции QA lead от 3 лет, опыт управления командой от...', 'responsibility': 'Чем предстоит заниматься: Улучшение процессов и методики работы отдела тестирования. Разработка правил и регламентов в части тестирования. Проведение систематического анализа...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115416495,False,Региональный директор розничной сети,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пресненская набережная', 'building': '6с2', 'lat': 55.748143, 'lng': 37.540488, 'description': None, 'raw': 'Москва, Пресненская набережная, 6с2', 'metro': {'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, 'metro_stations': [{'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}], 'id': '3471557'}",,,2025-01-13T14:21:10+0300,2025-01-13T14:21:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115416495,,https://api.hh.ru/vacancies/115416495?host=hh.ru,https://hh.ru/vacancy/115416495,[],"{'id': '2351276', 'name': 'Whitecliff Investment Management', 'url': 'https://api.hh.ru/employers/2351276', 'alternate_url': 'https://hh.ru/employer/2351276', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1768687.png', '90': 'https://img.hhcdn.ru/employer-logo/1768686.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/331584.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2351276', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в аналогичной должности в Fashion / Retail от 3 лет. Опыт работы в качестве Директора магазина; успешный опыт работы...', 'responsibility': 'Позиция подразумевает выстраивание и постепенное налаживание процессов, набор и обучение команды. Основные задачи на данной роли: Реализация стратегических и тактических...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '35', 'name': 'Директор магазина, директор сети магазинов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115113161,False,Управляющий делами семьи акционера (UHNWI),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 800000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T09:37:31+0300,2025-01-12T09:37:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115113161,,https://api.hh.ru/vacancies/115113161?host=hh.ru,https://hh.ru/vacancy/115113161,[],"{'id': '198875', 'name': 'Можайская executive', 'url': 'https://api.hh.ru/employers/198875', 'alternate_url': 'https://hh.ru/employer/198875', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3444834.png', '90': 'https://img.hhcdn.ru/employer-logo/3444833.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/750968.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=198875', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Аналогичный опыт поддержки руководителя (акционер, собственник бизнеса) от 3х лет обязателен. Высшее образование. Английский - advanced. Готовность к командировкам и...', 'responsibility': 'Управление личной недвижимостью акционера как в России, так и за границей. Управление работой административно-хозяйственной службы. Управление персоналом: формирование команды...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115371750,False,Директор по маркетингу (кадровое агентство),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T10:07:43+0300,2025-01-13T10:07:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115371750,,https://api.hh.ru/vacancies/115371750?host=hh.ru,https://hh.ru/vacancy/115371750,[],"{'id': '9163396', 'name': 'Кадры Онлайн', 'url': 'https://api.hh.ru/employers/9163396', 'alternate_url': 'https://hh.ru/employer/9163396', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7073783.png', '90': 'https://img.hhcdn.ru/employer-logo/7073782.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1363468.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9163396', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Умение разрабатывать и управлять таргетированными рекламными кампаниями, обеспечивая высокую конверсию и возврат <highlighttext>инвестиций</highlighttext>. Опыт работы в больших организациях, взаимодействуя с...', 'responsibility': 'Использовать аналитические инструменты (Google Analytics, CRM-системы и др.) для отслеживания результатов маркетинговых кампаний. Рассчитывать возврат <highlighttext>инвестиций</highlighttext> по каждому каналу...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '37', 'name': 'Директор по маркетингу и PR (CMO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115271740,False,Семейный водитель (машина работодателя),,False,False,"{'id': '66', 'name': 'Нижний Новгород', 'url': 'https://api.hh.ru/areas/66'}","{'from': 70000, 'to': 70000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-10T18:02:38+0300,2025-01-10T18:02:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115271740,,https://api.hh.ru/vacancies/115271740?host=hh.ru,https://hh.ru/vacancy/115271740,[],"{'id': '5002043', 'name': 'Элемент-Инвестиции', 'url': 'https://api.hh.ru/employers/5002043', 'alternate_url': 'https://hh.ru/employer/5002043', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5002043', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы у первых лиц. Опыт работы в семьях с детьми ОБЯЗАТЕЛЬНО. Коммуникабельность, умение находить общий язык с детьми. ', 'responsibility': 'Сопровождение детей в школу и кружки. Содержание машины в чистоте, ТО. Закупка необходимых расходников в машину и контроль за пополнением...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
